member_slp1	ganas	gana_sutras	crosswalk_sutra_match	corroborated	attested_in_pwg
1	gopavanAdiH	2.4.67			
104]])	gopavanAdiH	2.4.67			
128]]	tizWadgupraBftiH	2.1.17			
2.1.70	SAkapArTivAdiH	2.1.60			
2.3.18	nAvAdiH	2.3.17			
2.4.11	pratyAdiH	2.3.43			
3	SArNgaravAdiH	4.1.73			
3.2.15	mUlaviBujAdiH	3.2.5			
3.3.3	mUlaviBujAdiH	3.2.5			
3.4.74	saMpadAdiH	3.3.108			
4	tizWadgupraBftiH	2.1.17			
4.2.53	KalAdiH	4.2.51			
4.3.60	parimuKAdiH	4.3.59			
4.3.73	parimuKAdiH	4.3.59			
4.4.1	mASabdAdiH	4.4.1			
4.4.10	mASabdAdiH	4.4.1			
5.1.111	svargAdiH|upavastrAdiH	5.1.105|5.1.111			
5.1.122	svargAdiH	5.1.111			
5.1.128	caturvedAdiH	5.1.124			
5.1.94	mahAnAmnyAdiH	5.1.94			
5.1.97	mahAnAmnyAdiH	5.1.94			
5.2.116	jyotsnAdiH	5.2.103			
5.3.100	BavadAdiH	5.3.14			
5.4.107	AdyAdiH	5.4.44			
6.1.157	SakanDvAdiH	6.1.94			
6.3.109	kukkuwyAdiH	6.3.42			
6.3.34	tricakrAdi	6.2.129			
6.4.153	pIlvAdiH	6.3.121			
7.3.4	snAtvyAdiH	7.1.49			
7.3.53	kzipakAdiH	7.3.45			
8.1.27	kaRAdiH	7.4.3			
8.2.70	kapilakAdiH	8.2.18			
8.3.48	kapilakAdiH	8.2.18			
8.4.10	irikAdiH	8.4.6			
8.4.11	irikAdiH	8.4.6			
8.4.39	irikAdiH	8.4.6			
AAmnAta	izwAdiH	5.2.88			
ADyaSvi	gahAdiH	4.2.138	P.4.2.138	1	1
AKaRqi	CAtryAdiH	6.2.86	P.6.2.86	1	1
AKaka	gOrAdiH	4.1.41	P.4.1.41	1	1
AKanikavakaH	pAtresamitAdiH	2.1.48			
AMhisi	tOlvalyAdiH	2.4.61			
AN	prAdiH	1.4.58			
AQaka	arDarcAdiH|gOrAdiH	2.4.31|4.1.41	P.2.4.31|P.4.1.41	1	1
AQaya	manojYAdiH	5.1.133			
AQayapadi	dvidaRqyAdiH	5.4.128			
ARaqIvata	karRAdiH	4.2.80			
ASmaraTya	SArNgaravAdiH	4.1.73	P.4.1.73	1	1
ASokeya	SArNgaravAdiH	4.1.73			1
ASra	suKAdiH	5.2.131	P.5.2.131	1	1
ASraya	arDarcAdiH	2.4.31			1
ASu	svargAdiH	5.1.111			1
ASvatTa	gOrAdiH	4.1.41	P.4.1.41	1	1
ASvatTi	gahAdiH	4.2.138	P.4.2.138	1	1
ATarvaR	vasantAdiH	4.2.63			
AcAryaBogInaH	irikAdiH	8.4.6			
Acaya	AkarzAdiH	5.2.64	P.5.2.64	1	1
Acita	AcitAdiH	6.2.146	P.6.2.146	1	1
AcyapadI	dvidaRqyAdiH	5.4.128			
Acyutadanti	dAmanyAdiH	5.3.116	P.5.3.116	1	1
Acyutanti	dAmanyAdiH	5.3.116			1
Adaha	cAdiH	1.4.57			
AdgAhamAni	gOrAdiH	4.1.41			
Adi	AdyAdiH|digAdiH	4.3.54|5.4.44			1
Adityavrata	mahAnAmnyAdiH	5.1.94	P.5.1.94	1	1
AdyAdiBya upasaMKyAnam	AdyAdiH	5.4.44			
AdyAvasAne	daDipayasyAdiH	2.4.14			
AdyantO	rAjadantAdiH	2.2.31			
AgamI	mUlaviBujAdiH	3.2.5			
AgatamatsyaH	yuktArohyAdiH	6.2.81			
AgatanandI	yuktArohyAdiH	6.2.81			
AgataprahArI	yuktArohyAdiH	6.2.81			
AgatavaYcI	yuktArohyAdiH	6.2.81			
AgatayoDI	yuktArohyAdiH	6.2.81			
AgrahAyaRI	gOrAdiH	4.1.41			
AhO praBUtAdiByaH	mASabdAdiH	4.4.1			
AharacelA	mayUravyaMsakAdiH	2.1.72			
AharakawA	mayUravyaMsakAdiH	2.1.72			
AharanivapA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
AharavanitA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
AhiMsi	gahAdiH	4.2.138			1
AhitAgniH	AhitAgnyAdiH	2.2.37			
Aho	cAdiH	1.4.57	P.1.4.57	1	1
Ahosvit	cAdiH	1.4.57			
AjIkUla	DUmAdiH	4.2.127	P.4.2.127	1	1
AjaDenaviH	bAhvAdiH	4.1.96			
AkASa	arDarcAdiH|digAdiH	2.4.31|4.3.54	P.2.4.31	1	1
AkIm	cAdiH	1.4.57			1
Akana	karRAdiH	4.2.80	P.4.2.80	1	1
Akarza	AkarzAdiH	5.2.64			1
Akaza	AkarzAdiH	5.2.64			1
AkidantI	dAmanyAdiH	5.3.116			
AklI	UryAdiH	1.4.61	P.1.4.61	1	1
Akvidanti	dAmanyAdiH	5.3.116			
AlabDi	gOrAdiH	4.1.41	P.4.1.41	1	1
Alaji	gOrAdiH	4.1.41	P.4.1.41	1	1
Alakzi	gOrAdiH	4.1.41	P.4.1.41	1	1
Alambi	gOrAdiH	4.1.41	P.4.1.41	1	1
AliNgyAyana	varaRAdiH	4.2.82	P.4.2.82	1	1
AliQa	SuBrAdiH	4.1.123			
AlozWI	UryAdiH	1.4.61			
Am	svarAdiH	1.1.37	P.1.1.37	1	1
Amala	gOrAdiH	4.1.41	P.4.1.41	1	1
Amalaka	gOrAdiH	4.1.41	P.4.1.41	1	1
Amitri	gahAdiH	4.2.138	P.4.2.138	1	1
AmizI	maDvAdiH	4.2.86	P.4.2.86	1	1
Amra	varRadfQAdiH	5.1.123			1
An	saNkalAdiH	4.2.75	P.4.2.75	1	1
AnakasTalI	DUmAdiH	4.2.127	P.4.2.127	1	1
Ananda	gOrAdiH	4.1.41	P.4.1.41	1	1
Anaquhya	aSvAdiH	4.1.110			1
Anarta	DUmAdiH	4.2.127			1
AnatarohI	yuktArohyAdiH	6.2.81			
AnfSaMsi	gahAdiH	4.2.138	P.4.2.138	1	1
AnfSasi	gahAdiH	4.2.138			
Anfta	KalAdiH	4.2.51			1
AniDe	SArNgaravAdiH	4.1.73			
AnuhArati	tOlvalyAdiH	2.4.61			1
AnurAhati	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
Anurohati	tOlvalyAdiH	2.4.61			1
Anuti	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
Anuzak	cAdiH|svarAdiH	1.1.37|1.4.57	P.1.1.37	1	1
Anuzaw	cAdiH	1.4.57			
Apaccika	gOrAdiH	4.1.41	P.4.1.41	1	1
Apad	saMpadAdiH	3.3.108	P.3.3.108	1	1
Apaka	gOrAdiH	4.1.41	P.4.1.41	1	1
Apakziti	krOqyAdiH	4.1.80	P.4.1.80	1	1
AparAcam	mayUravyaMsakAdiH	2.1.72			
Apastamba	bidAdiH	4.1.104	P.4.1.104	1	1
ApatkAla	kASyAdiH	4.2.116			
ApiSali	krOqyAdiH	4.1.80	P.4.1.80	1	1
AqAraka	upakAdiH	2.4.69	P.2.4.69	1	1
ArA	vfzAdiH	6.1.203			1
ArADaya	brAhmaRAdiH	5.1.124	P.5.1.124	1	1
ArAjYI	DUmAdiH	4.2.127	P.4.2.127	1	1
ArAla	tArakAdiH	5.2.36	P.5.2.36	1	1
ArAt	svarAdiH	1.1.37	P.1.1.37	1	1
ArISma	kfSASvAdiH	4.2.80			
Ara	kaRqvAdiH	3.1.27			1
ArabDa	tikAdiH	4.1.154			1
AragvAyanabanDakI	rAjadantAdiH	2.2.31	P.2.2.31	1	1
AramBaRa	upavastrAdiH	5.1.105			1
AraqvAyani	rAjadantAdiH	2.2.31	P.2.2.31	1	1
Arawa	gOrAdiH	4.1.41	P.4.1.41	1	1
ArcABimOdgalAH	kArtakOjapAdiH	6.2.37			
Arcita	izwAdiH	5.2.88			
ArdrA	aMSvAdiH	6.2.193			
Ardra	arDarcAdiH|gOrAdiH	2.4.31|4.1.41	P.2.4.31	1	1
Ardram	sAkzAtpraBftiH	1.4.74			
ArdrapadI	kumBapadyAdiH	5.4.139			
Ardravfkza	utkarAdiH	4.2.90			
Argayana	irikAdiH	8.4.6			
ArjunAyana	KalAdiH	4.2.51			1
Aroha	balAdiH	5.2.136			1
ArohaRa	upavastrAdiH	5.1.105			1
AryaSveta	SivAdiH	4.1.112	P.4.1.112	1	1
Aryahalam	svarAdiH	1.1.37	P.1.1.37	1	1
Arzika	SivAdiH	4.1.112			1
AsTA	sAkzAtpraBftiH	1.4.74	P.1.4.74	1	1
AsTApita	AcitAdiH	6.2.146	P.6.2.146	1	1
AsTika	caturvedAdiH	5.1.124			
Asana	arDarcAdiH	2.4.31	P.2.4.31	1	1
AsandI	maDvAdiH	4.2.86			
Asevita	izwAdiH	5.2.88			
AsibanDaki	tOlvalyAdiH	2.4.61			
AsinAsi	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
Asna	suKAdiH	5.2.131			
Asra	suKAdiH	3.1.18	P.3.1.18	1	1
AstaraRa	gOrAdiH|mahAnAmnyAdiH	4.1.41|5.1.94	P.4.1.41	1	1
AsurI	tOlvalyAdiH	2.4.61			
Asuti	maDvAdiH	4.2.86			1
Atapa	utkarAdiH	4.2.90			1
Atava	aSvAdiH	4.1.110	P.4.1.110	1	1
AtmakAmeya	KalAdiH	4.2.51			1
Atreya	aSvAdiH	4.1.110	P.4.1.110	1	1
Atreye	aSvAdiH	4.1.110			
AttAlI	UryAdiH	1.4.61			
AvantyaSmakam	rAjadantAdiH	2.2.31			
AvapanizkirA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
Avaya	DUmAdiH	4.2.127	P.4.2.127	1	1
Avis	UryAdiH|sAkzAtpraBftiH|svarAdiH	1.1.37|1.4.61|1.4.74	P.1.1.37|P.1.4.61	1	1
Awi	CAtryAdiH	6.2.86	P.6.2.86	1	1
AyAma	balAdiH	5.2.136			1
AyasTURa	gOrAdiH	4.1.41			1
AyatIgavam	tizWadgupraBftiH	2.1.17	P.2.1.17	1	1
AyatIsamam	tizWadgupraBftiH	2.1.17	P.2.1.17	1	1
Ayukta	izwAdiH	5.2.88	P.5.2.88	1	1
Ayurdeva	ukTAdiH	4.2.60			
Ayurveda	kaTAdiH|ukTAdiH	4.2.60|4.4.102			1
Ayus	svargAdiH	5.1.111			1
Ayuta	gahAdiH	4.2.138			1
AyuzmAn	BavadAdiH	5.3.14			
BARqa	gOrAdiH	4.1.41			1
BARqala	gOrAdiH	4.1.41	P.4.1.41	1	1
BARqi	CAtryAdiH	6.2.86	P.6.2.86	1	1
BAga	daRqAdiH	5.1.66			1
BAgavatIBAgavatam	pratyAdiH	2.3.43			
BAjak	cAdiH|svarAdiH	1.1.37|1.4.57	P.1.4.57	1	1
BAjana	bidAdiH|gopavanAdiH	2.4.67|4.1.104	P.4.1.104	1	1
BAraNgI	kASyAdiH	4.2.116	P.4.2.116	1	1
BArata	SuBrAdiH	4.1.123			1
BAryApatI	rAjadantAdiH	2.2.31			
BAskaraH	kapilakAdiH	8.2.18			
BAstrAyaRa	arIhaRAdiH	4.2.80	P.4.2.80	1	1
BAvI	mUlaviBujAdiH	3.2.5			
BAva	rasAdiH	5.2.95			1
BEriki	tikAdiH	4.1.154			
BImAdiH	saMpadAdiH	3.3.108			
BIma	saMpadAdiH	3.3.108			1
BIzma	saMpadAdiH	3.3.108			1
BOji	gahAdiH	4.2.138	P.4.2.138	1	1
BOliNgi	gOrAdiH|pElAdiH	2.4.59|4.1.41	P.2.4.59|P.4.1.41	1	1
BOliki	BOrikyAdiH|gOrAdiH|krOqyAdiH|tikAdiH	4.1.154|4.1.41|4.1.80|4.2.54	P.4.1.41	1	1
BOrika	gOrAdiH	4.1.41			1
BOriki	BOrikyAdiH|krOqyAdiH	4.1.80|4.2.54	P.4.2.54	1	1
BUmi	SivAdiH|SuRqikAdiH|yavAdiH	4.1.112|4.3.76|8.2.9			1
BUr	svarAdiH	1.1.37	P.1.1.37	1	1
BUri	SivAdiH	4.1.112	P.4.1.112	1	1
BUta	BikzAdiH|arDarcAdiH|kftAdiH	2.1.59|2.4.31|4.2.38	P.2.1.59|P.2.4.31	1	1
BUyas	cAdiH|svarAdiH	1.1.37|1.4.57			
BUyizWa	kaRAdiH	7.4.3			1
BUyizwa	kaRAdiH	7.4.3			
BUzaRa	arDarcAdiH	2.4.31	P.2.4.31	1	1
Ba	gOrAdiH	4.1.41			1
BaNgA	aSvAdiH	5.1.39			
BaNga	daRqAdiH	5.1.66			1
BaRa	kaRAdiH	7.4.3			1
BaRqila	aSvAdiH|yaskAdiH	2.4.63|4.1.110	P.4.1.110	1	1
BaRqita	aSvAdiH|gargAdiH	4.1.105|4.1.110	P.4.1.105	1	1
BaRqu	suvAstvAdiH	4.2.77	P.4.2.77	1	1
BaYjana	kiMSulukAdiH	6.3.117			1
BadrA	sAkzAtpraBftiH	1.4.74			
Badra	samAnAdiH	4.1.35			1
Baga	bahvAdiH|kratvAdiH	4.1.45|6.2.118	P.4.1.45	1	1
BagalA	bAhvAdiH	4.1.96			
Bagala	arIhaRAdiH	4.2.80	P.4.2.80	1	1
BaginIBartA	yuktArohyAdiH	6.2.81			
BaktiH	tricakrAdi	6.2.129			
BakzA	CatrAdiH	4.4.62			
BakzAlI	DUmAdiH	4.2.127	P.4.2.127	1	1
Balaga	arIhaRAdiH	4.2.80			
Balandana	SivAdiH|arIhaRAdiH|yaskAdiH	2.4.63|4.1.112|4.2.80	P.2.4.63|P.4.1.112	1	1
Balla	saKyAdiH|saNkalAdiH	4.2.75|4.2.80	P.4.2.75	1	1
BallakIya	utsAdiH	4.1.86	P.4.1.86	1	1
BallapAla	saKyAdiH	4.2.80	P.4.2.80	1	1
Baqila	aSvAdiH|yaskAdiH	2.4.63|4.1.110	P.2.4.63|P.4.1.110	1	1
Baqita	aSvAdiH|gargAdiH|yaskAdiH	2.4.63|4.1.105|4.1.110	P.4.1.105	1	1
Bara	tArakAdiH	5.2.36			1
BaraRa	BastrAdiH	4.4.16			1
BaradvAja	aSvAdiH|bidAdiH	4.1.104|4.1.110			1
BaradvAje	aSvAdiH	4.1.110			
Barama	SuBrAdiH	4.1.123	P.4.1.123	1	1
Barata	SuBrAdiH|utsAdiH|yODeyAdiH	4.1.123|4.1.178|4.1.86|5.3.117	P.5.3.117	1	1
Barawa	BastrAdiH	4.4.16	P.4.4.16	1	1
Barga	BargAdiH	4.1.178	P.4.1.178	1	1
Baruja	aNgulyAdiH|bahvAdiH	4.1.45|5.3.108	P.4.1.45|P.5.3.108	1	1
Basman	kuYjAdiH	4.1.98			1
BastrA	BastrAdiH|utkarAdiH	4.2.90|4.4.16	P.4.4.16	1	1
Batf	yAjakAdiH	2.2.9			
BavAn	BavadAdiH	5.3.14			
Bavana	arDarcAdiH	2.4.31	P.2.4.31	1	1
Bavatu	sarvAdiH	1.1.27			
Bavya	kratvAdiH	6.2.118			1
BayAnaka	saMpadAdiH	3.3.108			1
Bazaw	pacAdiH	3.1.134			
Beda	CedAdiH	5.1.64			1
BfNga	gOrAdiH	4.1.41	P.4.1.41	1	1
BfSa	BfSAdiH|kAzWAdiH|varRadfQAdiH	3.1.12|5.1.123|8.1.67			1
Bfgu	kzipakAdiH	7.3.45			1
BikzA	parimuKAdiH	4.3.59			1
BikzAgarBiRI	BikzAdiH	4.2.38			
Bikza	kaRqvAdiH	3.1.27			
Bikzuka	KaRqikAdiH|kaqArAdiH	2.2.38|4.2.45	P.2.2.38|P.4.2.45	1	1
BinDilavaRA	mayUravyaMsakAdiH	2.1.72			
BizRaja	gargAdiH	4.1.105	P.4.1.105	1	1
BizRuj	kaRqvAdiH	3.1.27			
Bizaj	gargAdiH|kaRqvAdiH	3.1.27|4.1.105	P.4.1.105	1	1
Bizaja	gargAdiH	4.1.105			
Boja	krOqyAdiH	4.1.80			1
BrAtf	samAnAdiH|yuvAdiH	4.1.35|5.1.130			
BrAtuzputraH	kapilakAdiH	8.2.18			
BrAzwraka	upakAdiH	2.4.69			1
BrUBaNga	karRAdiH	5.2.24			1
BraMsakalA	UryAdiH	1.4.61			
Bramat	BfSAdiH	3.1.12			
BrazwakakapizWalAH	tikakitavAdiH	2.4.68			
BrukuMsa	kukkuwyAdiH	6.3.42			
BrukuwI	kukkuwyAdiH	6.3.42			
BuktaviBukta	SAkapArTivAdiH	2.1.60			
BuktvAsuhita	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
BuraRa	kaRqvAdiH	3.1.27			1
Buvar	svarAdiH	1.1.37			
CAgamitra	kASyAdiH	4.2.116	P.4.2.116	1	1
CAla	arDarcAdiH	2.4.31	P.2.4.31	1	1
CAndasa	manojYAdiH	5.1.133	P.5.1.133	1	1
CAtra	manojYAdiH	5.1.133			
CAtravyaMsaka	mayUravyaMsakAdiH	2.1.72			
CAtri	CAtryAdiH	6.2.86			
CaMbaw	cAdiH	1.4.57			
CaMvaw	cAdiH	1.4.57			1
CagalA	bAhvAdiH	4.1.96			
Cagala	saKyAdiH|takzaSilAdiH	4.2.80|4.3.93	P.4.3.93	1	1
CagdoBAzA	parimuKAdiH	4.3.59			
Cala	arDarcAdiH	2.4.31	P.2.4.31	1	1
CandomAna	guRAdiH|parimuKAdiH	4.3.59|6.2.176	P.6.2.176	1	1
Candoviciti	parimuKAdiH	4.3.59			1
Carmika	caturvedAdiH	5.1.124			
Catra	CatrAdiH	4.4.62			
Ceda	CedAdiH|gOrAdiH	4.1.41|5.1.64	P.4.1.41	1	1
DAnyapati	aSvapatyAdiH	4.1.84	P.4.1.84	1	1
DArA	siDmAdiH|vfzAdiH	5.2.97|6.1.203	P.6.1.203	1	1
DAraRi	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
DArtarAjYI	DUmAdiH	4.2.127			
DArteya	yODeyAdiH	4.1.178|5.3.117	P.5.3.117	1	1
DAyyA	digAdiH	4.3.54			
DOmatAyana	arIhaRAdiH	4.2.80	P.4.2.80	1	1
DOrteya	yODeyAdiH	4.1.178	P.4.1.178	1	1
DUlI	UryAdiH	1.4.61			1
DUma	DUmAdiH|SarAdiH|aSvAdiH|kfSASvAdiH|pASAdiH	4.1.110|4.2.127|4.2.49|4.2.80|6.3.120			1
DUmra	aSvAdiH	4.1.110	P.4.1.110	1	1
DUrta	SORqAdiH|brAhmaRAdiH|manojYAdiH	2.1.40|5.1.124|5.1.133	P.2.1.40|P.5.1.124	1	1
DUsa	UryAdiH	1.4.61			
Dana	svargAdiH	5.1.111			1
DanaMjaya	gargAdiH	4.1.105			1
Danapati	aSvapatyAdiH	4.1.84			1
DanurdaRqa	vetanAdiH	4.4.12			
Danus	arDarcAdiH	2.4.31	P.2.4.31	1	1
DanuzkapAlam	kapilakAdiH	8.2.18			
Danvapati	aSvapatyAdiH	4.1.84	P.4.1.84	1	1
Danya	aSvAdiH	4.1.110	P.4.1.110	1	1
DarmArTO	rAjadantAdiH	2.2.31			
Darma	arDarcAdiH|ukTAdiH	2.4.31|4.2.60	P.2.4.31	1	1
Darmapata	aSvapatyAdiH	4.1.84			
DarmiRI	SuBrAdiH	4.1.123			
Darmin	BikzAdiH	4.2.38			1
Darmya	aSvAdiH	4.1.110			1
Denu	bidAdiH|utsAdiH	4.1.104|4.1.86			1
DenuzyA	tArakAdiH	5.2.36			1
Dik	cAdiH	1.4.57			1
DrAkzA	yavAdiH	8.2.9	P.8.2.9	1	1
DruvakA	kzipakAdiH|prekzAdiH	4.2.80|7.3.45			
Druvaka	picCAdiH	5.2.100	P.5.2.100	1	1
Dur	kapilakAdiH	8.2.18			1
DuvakA	bAhvAdiH	4.1.96			
Duvaka	picCAdiH	5.2.100	P.5.2.100	1	1
DvAkzA	harItakyAdiH	4.3.167	P.4.3.167	1	1
DvaMsakalA	UryAdiH	1.4.61	P.1.4.61	1	1
Dvaja	arDarcAdiH|bahvAdiH	2.4.31|4.1.45	P.2.4.31	1	1
Dvaji	yavAdiH	8.2.9	P.8.2.9	1	1
Dvana	aSvAdiH	4.1.110	P.4.1.110	1	1
E	cAdiH	1.4.57	P.1.4.57	1	1
EndaSarmiH	bAhvAdiH	4.1.96			
EndrAyaRa	arIhaRAdiH	4.2.80	P.4.2.80	1	1
ErAvata	arDarcAdiH	2.4.31	P.2.4.31	1	1
EzukAri	EzukAryAdiH	4.2.54			1
GArteya	yODeyAdiH	5.3.117	P.5.3.117	1	1
GAsakunda	kumudAdiH	4.2.80	P.4.2.80	1	1
GAwA	arSaAdiH	5.2.127			
GUma	gargAdiH	4.1.105			
GawA	arSaAdiH	5.2.127			
Gawa	GozAdiH	6.2.85	P.6.2.85	1	1
Gfta	arDarcAdiH	2.4.31	P.2.4.31	1	1
GftapIta	AhitAgnyAdiH	2.2.37	P.2.2.37	1	1
GoRA	kroqAdiH	4.1.56	P.4.1.56	1	1
Gora	kAzWAdiH	8.1.67	P.8.1.67	1	1
Goza	DUmAdiH|GozAdiH	4.2.127|6.2.85	P.4.2.127|P.6.2.85	1	1
Graji	yavAdiH	8.2.9			
GruvakA	bAhvAdiH	4.1.96			
Gum	cAdiH	1.4.57	P.1.4.57	1	1
Im	cAdiH	1.4.57	P.1.4.57	1	1
Izat	svarAdiH	1.1.37	P.1.1.37	1	1
Jawiti	svarAdiH	1.1.37	P.1.1.37	1	1
KARqavIraRa	arIhaRAdiH	4.2.80	P.4.2.80	1	1
KAdatAcamatA	mayUravyaMsakAdiH	2.1.72			
KAdatamodatA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
KAdatavamatA	mayUravyaMsakAdiH	2.1.72			
KAdirI	nadyAdiH	4.2.97			
KAqAyana	EzukAryAdiH|SOnakAdiH|arIhaRAdiH|gahAdiH	4.2.138|4.2.54|4.2.80|4.3.106			1
KArIjaNGa	upakAdiH	2.4.69			
KaRqa	aSmAdiH|arDarcAdiH|fSyAdiH|svargAdiH|tArakAdiH|utkarAdiH	2.4.31|4.2.80|4.2.90|5.1.111|5.2.36	P.2.4.31	1	1
KaRqala	arDarcAdiH	2.4.31	P.2.4.31	1	1
KaRqikA	KaRqikAdiH	4.2.45			
KaRqika	caturvedAdiH	5.1.124			1
KaRqina	sutaNgamAdiH	4.2.80			
KaRqita	pragadyAdiH	4.2.80			
KaRqu	arIhaRAdiH|suvAstvAdiH	4.2.77|4.2.80	P.4.2.80	1	1
KaYja	kaqArAdiH	2.2.38	P.2.2.38	1	1
KaYjana	SivAdiH	4.1.112			1
Kada	gavAdiH	5.1.2	P.5.1.2	1	1
Kadira	aSvAdiH|ajirAdiH|fSyAdiH|pIlvAdiH|palASAdiH|utkarAdiH|varAhAdiH	4.1.110|4.2.80|4.2.90|4.3.141|5.2.24|6.3.119	P.4.1.110	1	1
KajUra	aSvAdiH	4.1.110			
KalAdiBya inirvaktavyaH	KalAdiH	4.2.51			
KalIna	arDarcAdiH	2.4.31	P.2.4.31	1	1
Kala	KalAdiH|aNgulyAdiH|arDarcAdiH	2.4.31|4.2.51|5.3.108	P.2.4.31	1	1
Kalati	kaqArAdiH|saMpadAdiH	2.2.38|3.3.108	P.2.2.38	1	1
Kalebusam	tizWadgupraBftiH	2.1.17			
Kaleyavam	tizWadgupraBftiH	2.1.17	P.2.1.17	1	1
Kalu	cAdiH	1.4.57			1
Kam	cAdiH	1.4.57	P.1.4.57	1	1
Kana	arDarcAdiH	2.4.31			1
Kapracama	mayUravyaMsakAdiH	2.1.72			
KaqUra	SuBrAdiH	4.1.123	P.4.1.123	1	1
Kaqa	aSvAdiH	4.1.110	P.4.1.110	1	1
Kaqika	sutaNgamAdiH	4.2.80	P.4.2.80	1	1
KaqonmattA	SuBrAdiH	4.1.123	P.4.1.123	1	1
KaranAdin	bAhvAdiH	4.1.96	P.4.1.96	1	1
Karapa	naqAdiH|yaskAdiH	2.4.63|4.1.99	P.2.4.63|P.4.1.99	1	1
KarjUra	aSvAdiH	4.1.110	P.4.1.110	1	1
KawvA	vaMSAdiH	5.1.50			1
KawvArUQaH	pravfdDAdiH	6.2.147			
KelA	kaRqvAdiH	3.1.27			
Kewaka	aMSvAdiH	6.2.193			1
Kila	pakzAdiH	4.2.80			1
Koqa	kaqArAdiH	2.2.38	P.2.2.38	1	1
Kum	cAdiH	1.4.57	P.1.4.57	1	1
KurA	kroqAdiH	4.1.56			
O	cAdiH	1.4.57	P.1.4.57	1	1
OdaNki	dAmanyAdiH	5.3.116			1
OdaSudDi	pElAdiH	2.4.59			
OdaYco	pElAdiH	2.4.59			
Odaki	dAmanyAdiH	5.3.116			1
Odamajji	pElAdiH	2.4.59			
OdameGi	pElAdiH|rEvatikAdiH	2.4.59|4.3.131			
Odamfjji	pElAdiH	2.4.59			
Odanyi	pElAdiH	2.4.59	P.2.4.59	1	1
OdapAna	SArNgaravAdiH	4.1.73			1
OdavApi	rEvatikAdiH	4.3.131	P.4.3.131	1	1
Odavraji	pElAdiH	2.4.59	P.2.4.59	1	1
Odavyajri	pElAdiH	2.4.59			
OdgAhamAni	gOrAdiH|gahAdiH|pElAdiH	2.4.59|4.1.41|4.2.138	P.2.4.59|P.4.1.41|P.4.2.138	1	1
OjjihAni	pElAdiH	2.4.59	P.2.4.59	1	1
Olapi	dAmanyAdiH	5.3.116	P.5.3.116	1	1
OqAyana	EzukAryAdiH	4.2.54	P.4.2.54	1	1
Oqa	gOrAdiH	4.1.41	P.4.1.41	1	1
Oqavi	dAmanyAdiH	5.3.116	P.5.3.116	1	1
Orasa	tikAdiH	4.1.154			1
OzaDa	arDarcAdiH	2.4.31	P.2.4.31	1	1
OzaDiH	kurugArhapatAdiH	6.2.42			
Ozaw	UryAdiH	1.4.61			
OzwrAyaRa	arIhaRAdiH	4.2.80	P.4.2.80	1	1
PalAPalikA	SAkapArTivAdiH	2.1.60			1
PalI	UryAdiH	1.4.61			
Pala	UryAdiH|arDarcAdiH|tArakAdiH|tfRAdiH|utkarAdiH	1.4.61|2.4.31|4.2.80|4.2.90|5.2.36	P.1.4.61|P.2.4.31	1	1
PalakA	prekzAdiH	4.2.80			
Palaka	arDarcAdiH	2.4.31	P.2.4.31	1	1
PalapAku	kzipakAdiH	7.3.45			
PalepAkA	kzipakAdiH	7.3.45			
Parkaraka	gOrAdiH	4.1.41			
Paw	cAdiH	1.4.57	P.1.4.57	1	1
Pena	lohitAdiH	3.1.13			1
SADi	bahvAdiH	4.1.45	P.4.1.45	1	1
SAKA	SAKAdiH	5.3.103			
SARa	SAKAdiH	5.3.103			1
SARqilyAyana	arIhaRAdiH	4.2.80	P.4.2.80	1	1
SAWya	tikAdiH	4.1.154			1
SAka	KalAdiH|arDarcAdiH|kARqAdiH|kuYjAdiH|kurvAdiH|utkarAdiH	2.4.31|4.1.151|4.1.98|4.2.51|4.2.90|6.2.135	P.2.4.31|P.4.1.98	1	1
SAkalaSaRakAH	kArtakOjapAdiH	6.2.37			
SAkalaSunakAH	kArtakOjapAdiH	6.2.37			
SAkapArTivAdInAmupasaNKyAnam	SAkapArTivAdiH	2.1.60			
SAkapArTivaH	SAkapArTivAdiH	2.1.60			
SAkawa	cUrRAdiH	6.2.134			1
SAkina	cUrRAdiH	6.2.134			1
SAkuntaki	dAmanyAdiH	5.3.116	P.5.3.116	1	1
SAkvara	caturvedAdiH	5.1.124			1
SAlA	GozAdiH|jyotsnAdiH|mAlAdiH	5.2.103|6.2.85|6.2.88			1
SAlAkA	kurvAdiH	4.1.151			
SAlAsTali	krOqyAdiH	4.1.80	P.4.1.80	1	1
SAlI	uraHpraBftayaH	5.4.151			1
SAlUka	SuBrAdiH|puzkarAdiH	4.1.123|5.2.135	P.4.1.123|P.5.2.135	1	1
SAla	arDarcAdiH|utkarAdiH	2.4.31|4.2.90	P.2.4.31	1	1
SAlaNkAyana	KalAdiH	4.2.51			1
SAlaNki	pElAdiH	2.4.59	P.2.4.59	1	1
