ранг,кластер_iast,кластер_slp1,частота,доля_%,пример1,пример2
237,rdhy,rDy,11,0.008,parārdhyena,parārdhyam
238,ṣph,zP,11,0.008,suniṣphalaṃ,niṣphalam
239,rhr,rhr,11,0.008,gambhīranirhrādaṃ,gambhīranirhrādaṃ
240,rtr,rtr,10,0.007,bhartrā,bhartrā
241,jjv,jjv,10,0.007,vicitrakavacojjvalān,kuṇḍalojjvalitānanam
242,ghy,Gy,9,0.006,tapaḥślāghyair,vīryaślāghyam
243,rbhy,rBy,9,0.006,dorbhyāṃ,vaidarbhyāṃ
244,ṇm,Rm,9,0.006,hiraṇmayīm,hiraṇmayīm
245,ṭk,wk,9,0.006,svāhākāravaṣaṭkārau,vaṣaṭkāro
246,ml,ml,9,0.006,mlecchāś,mlecchāś
247,tmy,tmy,9,0.006,māhātmyam,māhātmyāt
248,kk,kk,9,0.006,mārgamāyūrakaukkuṭaiḥ,manovākkāyasaṃyatān
249,rkh,rK,8,0.006,mūrkho,mūrkhāṇām
250,kś,kS,8,0.006,avākśirāḥ,avākśirās
251,rcy,rcy,8,0.006,pratyarcya,abhyarcya
252,spr,spr,8,0.006,sprākṣīs,spraṣṭum
253,ṅkt,Nkt,8,0.006,bhuṅkte,bhuṅkte
254,mpy,mpy,8,0.006,ivākampyaṃ,ivākampyaṃ
255,rṇy,rRy,7,0.005,cāturvarṇyaṃ,cāturvarṇyahitārthāya
256,rtt,rtt,7,0.005,kārttikeyo,kārttikeya
257,lpy,lpy,7,0.005,evopakalpyatām,kalpyate
258,gd,gd,7,0.005,sphigdeśenābhitāmreṇa,asṛgdigdhatanūruhaḥ
259,rṣy,rzy,6,0.004,yatharṣyaśṛṅgas,yatharṣyaśṛṅgas
260,skh,sK,6,0.004,skhalitaṃ,cāskhalad
261,mm,mm,6,0.004,sammānaṃ,sammānam
262,pty,pty,6,0.004,dīptyā,samāptyāṃ
263,rṣṇ,rzR,6,0.004,kārṣṇāyasaṃ,kārṣṇāyase
264,mṇ,mR,6,0.004,mahāromṇas,svarṇaromṇas
265,rkhy,rKy,6,0.004,maurkhyān,maurkhyād
266,ntvy,ntvy,6,0.004,parisāntvya,sāntvyamānā
267,dn,dn,6,0.004,mṛdnantī,parimṛdnantau
268,kp,kp,6,0.004,ṛtvikpurohitācāryāṃs,pṛthakpṛthak
269,nmy,nmy,6,0.004,nihanmy,nihanmy
270,ṭp,wp,6,0.004,ṣaṭpadair,ṣaṭpadasaṃnikāśaṃ
271,ṇḍy,Rqy,6,0.004,daṇḍye,daṇḍyo
272,ccy,ccy,6,0.004,sugrīvavadanāccyutām,kharaputrakarāccyutam
