L_id	k1	hom	k2
794	acakzuzka		acakzuzka

795	acakzus		acakzus

796	acaRqI		acaRqI

797	acatura		acatura/

798	acara		acara

799	acarant		a/carant

800	acarama		a/carama

801	acala		acala

802	acalakIlA		acalakIlA

803	acalatviz		acalatviz

804	acalaDfti		acalaDfti

805	acalaBrAtar		acalaBrAtar

806	acalamati		acalamati

807	acalAsaptamI		acalAsaptamI

808	acAru		acAru/

809	acikitvaMs		a/cikitvaMs

810	acikkaRa		acikkaRa

811	acit		aci/t

812	acitta		aci/tta

813	acitti		a/citti

814	acitra		acitra/

815	acintita		acintita

816	acintya		acintya

817	acira		acira

818	aciradyuti		aciradyuti

819	acirapraBa		acirapraBa

820	aciraBAs		aciraBAs

821	aciram		aciram

822	acirarocis		acirarocis

823	acirAMSu		acirAMSu

824	acirAt		acirAt

825	acirABa		acirABa

826	acireRa		acireRa

827	acizwu		a/cizwu

828	acetana		acetana

829	acetas		aceta/s

830	acetAna		a/cetAna

831	acezwa		acezwa

832	acezwatA		acezwatA

833	acEtanya		acEtanya

834	acodas		acoda/s

835	acCa	1	acCa
836	acCa	2	a/cCa
837	acCandasam		acCandasam

838	acCaBalla		acCaBalla

839	acCAya		acCAya/

840	acCAvAka		acCAvAka

841	acCAvAkaSastra		acCAvAkaSastra

842	acCAvAkIya		acCAvAkI/ya

843	acCidyamAna		a/cCidyamAna

844	acCidra	1	acCidra
845	acCidra	2	a/cCidra
846	acCidrakARqa		acCidrakARqa

847	acCidroti		a/cCidroti

848	acCidroDnI		a/cCidroDnI

849	acCinna		a/cCinna

850	acCinnapatra		a/cCinnapatra

851	acCinnaparRa		a/cCinnaparRa

852	acCupta		acCupta

853	acCeta		a/cCeta

854	acCedika		acCedika/

855	acCokti		a/cCokti

856	acCowana		acCowana

857	acCoda		acCoda

858	acyuta	1	a/cyuta
859	acyuta	2	acyuta/
860	acyutakfzRAnandatIrTa		acyutakfzRAnandatIrTa

861	acyutakzit		acyutakzi/t

862	acyutacyut		acyutacyu/t
